"Type","Component","Connection","Pin","PinName","Signal","Sheet","Location","ComponentType","Value","PartNumber","A/B/NF","Module","BoardSide","ConnectionType"
"component","IC1",,,,,2,"I5","chip","Dual Buffer","NC7WZ17",,"BCM2835 HDMI","front",
"component","IC2",,,,,1,"H1","chip","CPU & GPU","BCM2835",,"multiple","front",
"component","IC3",,,,,3,"D1","chip","LAN & USB","LAN9512","B","multiple","front",
"power",,,,,"+5V0",1,"C4",,,,,"USB Power Input",,
"power",,,,,"GND",1,"B6",,,,,"USB Power Input",,
"power",,,,,"PE",1,"A6",,,,,"USB Power Input",,
"power",,,,,"+5V0",1,"A7",,,,,"USB Power Input",,
"power",,,,,"+3V3",1,"C7",,,,,"USB Power Input",,
"power",,,,,"GND",1,"C7",,,,,"USB Power Input",,
"power",,,,,"+2V5",1,"C8",,,,,"USB Power Input",,
"power",,,,,"GND",1,"C9",,,,,"USB Power Input",,
"power",,,,,"+1V8",1,"C9",,,,,"USB Power Input",,
"power",,,,,"GND",1,"C10",,,,,"USB Power Input",,
"component","S1",,,,,1,"A5","connector","MICRO USB TYPE B","PD-USB/112",,"USB Power Input","front",
"component","F3",,,,,1,"B4","fuse","1A1 6V","miniSMD",,"USB Power Input","back",
"component","R51",,,,,1,"B5","resistor","0R0",,,"USB Power Input","back",
"component","D17",,,,,1,"B5","diode (voltage suppressor)","5V","SMBJ",,"USB Power Input","back",
"component","C6",,,,,1,"C5","capacitor (polarized)","220uF",,,"USB Power Input","front",
"component","C3",,,,,1,"C5","capacitor","100n",,,"USB Power Input","front",
"component","C2",,,,,1,"C5","capacitor","1n0",,,"USB Power Input","front",
"component","RG2",,,,,1,"B7","regulator","3v3","NCP1117-3v3",,"USB Power Input","front",
"component","C12",,,,,1,"A7","capacitor","100n",,,"USB Power Input","front",
"component","C11",,,,,1,"B7","capacitor (polarized)","47u",,,"USB Power Input","front",
"component","C8",,,,,1,"C7","capacitor","100n",,,"USB Power Input","front",
"component","C10",,,,,1,"C7","capacitor","10n",,,"USB Power Input","front",
"component","RG3",,,,,1,"B8","regulator","2v5","LP2980-2v5",,"USB Power Input","front",
"component","C15",,,,,1,"B8","capacitor","10u",,,"USB Power Input","front",
"component","C13",,,,,1,"C8","capacitor","10n",,,"USB Power Input","front",
"component","RG1",,,,,1,"B9","regulator","1v8","NCP1117-1v8",,"USB Power Input","front",
"component","C5",,,,,1,"A9","capacitor","100n",,,"USB Power Input","front",
"component","C9",,,,,1,"B9","capacitor (polarized)","47u",,,"USB Power Input","front",
"component","C7",,,,,1,"C9","capacitor","10n",,,"USB Power Input","front",
"signal",,"S1",1,"VBUS","VIN",1,"A4",,,,,"USB Power Input",,"power"
"signal",,"S1",2,"USB D-","nc",1,"A4",,,,,"USB Power Input",,"nc"
"signal",,"S1",3,"USB D+","nc",1,"A4",,,,,"USB Power Input",,"nc"
"signal",,"S1",4,"ID (nc)","nc",1,"A4",,,,,"USB Power Input",,"nc"
"signal",,"S1",5,"GND","GND",1,"A4",,,,,"USB Power Input",,"ground"
"signal",,"S1","M1","Shield","PE",1,"A5",,,,,"USB Power Input",,"ground"
"signal",,"S1","M2","Shield","PE",1,"A5",,,,,"USB Power Input",,"ground"
"signal",,"S1","M3","Shield","PE",1,"A5",,,,,"USB Power Input",,"ground"
"signal",,"S1","M4","Shield","PE",1,"A5",,,,,"USB Power Input",,"ground"
"signal",,"S1","M5","Pad","nc",1,"A5",,,,,"USB Power Input",,"nc"
"signal",,"S1","M6","Pad","nc",1,"A5",,,,,"USB Power Input",,"nc"
"signal",,"RG2",2,"Vi","+5V0",1,"B7",,,,,"USB Power Input",,"power"
"signal",,"RG2",1,"Vo","+3V3",1,"B7",,,,,"USB Power Input",,"power"
"signal",,"RG2",3,"com","GND",1,"B7",,,,,"USB Power Input",,"ground"
"signal",,"RG3",1,"VIN","+3V3",1,"B8",,,,,"USB Power Input",,"power"
"signal",,"RG3",3,"ON","+3V3",1,"B8",,,,,"USB Power Input",,"power"
"signal",,"RG3",2,"GND","GND",1,"B8",,,,,"USB Power Input",,"ground"
"signal",,"RG3",5,"OUT","+2V5",1,"B8",,,,,"USB Power Input",,"power"
